sno,act,srcUpdateTime,total,available_rent_bikes,latitude,longitude
500106065,1,2024-07-19 21:33:25,41,1,25.04178,121.51907
500106065,1,2024-07-19 21:33:25,41,1,25.04178,121.51907
500106065,1,2024-07-19 21:34:24,41,1,25.04178,121.51907
500106065,1,2024-07-19 21:35:24,41,1,25.04178,121.51907
500106065,1,2024-07-19 21:36:25,41,2,25.04178,121.51907
500106065,1,2024-07-19 21:37:24,41,1,25.04178,121.51907
500106065,1,2024-07-19 21:38:25,41,1,25.04178,121.51907
500106065,1,2024-07-19 21:39:24,41,1,25.04178,121.51907
500106065,1,2024-07-19 21:40:32,41,1,25.04178,121.51907
500106065,1,2024-07-19 21:41:25,41,1,25.04178,121.51907
500106065,1,2024-07-19 21:42:25,41,1,25.04178,121.51907
500106065,1,2024-07-19 21:44:24,41,1,25.04178,121.51907
500106065,1,2024-07-19 21:45:25,41,0,25.04178,121.51907
500106065,1,2024-07-19 21:46:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 21:47:25,41,0,25.04178,121.51907
500106065,1,2024-07-19 21:48:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 21:49:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 21:50:31,41,0,25.04178,121.51907
500106065,1,2024-07-19 21:51:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 21:52:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 21:53:25,41,0,25.04178,121.51907
500106065,1,2024-07-19 21:54:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 21:55:23,41,0,25.04178,121.51907
500106065,1,2024-07-19 21:56:24,41,1,25.04178,121.51907
500106065,1,2024-07-19 21:57:25,41,1,25.04178,121.51907
500106065,1,2024-07-19 21:58:24,41,1,25.04178,121.51907
500106065,1,2024-07-19 21:59:28,41,1,25.04178,121.51907
500106065,1,2024-07-19 22:00:29,41,1,25.04178,121.51907
500106065,1,2024-07-19 22:01:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:02:25,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:03:25,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:04:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:05:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:06:25,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:07:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:08:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:09:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:10:30,41,1,25.04178,121.51907
500106065,1,2024-07-19 22:11:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:12:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:13:25,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:14:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:15:25,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:16:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:17:23,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:18:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:19:23,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:20:30,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:21:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:22:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:23:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:24:23,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:25:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:26:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:27:25,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:28:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:29:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:30:30,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:31:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:32:28,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:33:23,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:34:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:35:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:36:23,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:37:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:38:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:39:23,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:40:30,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:41:22,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:42:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:43:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:44:23,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:45:23,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:46:23,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:47:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:48:23,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:49:23,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:50:30,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:51:23,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:52:23,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:53:23,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:54:23,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:55:23,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:56:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:57:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:58:23,41,0,25.04178,121.51907
500106065,1,2024-07-19 22:59:23,41,0,25.04178,121.51907
500106065,1,2024-07-19 23:00:30,41,0,25.04178,121.51907
500106065,1,2024-07-19 23:01:23,41,0,25.04178,121.51907
500106065,1,2024-07-19 23:02:24,41,1,25.04178,121.51907
500106065,1,2024-07-19 23:03:23,41,1,25.04178,121.51907
500106065,1,2024-07-19 23:04:23,41,1,25.04178,121.51907
500106065,1,2024-07-19 23:05:23,41,1,25.04178,121.51907
500106065,1,2024-07-19 23:06:23,41,1,25.04178,121.51907
500106065,1,2024-07-19 23:07:23,41,1,25.04178,121.51907
500106065,1,2024-07-19 23:08:23,41,1,25.04178,121.51907
500106065,1,2024-07-19 23:09:23,41,1,25.04178,121.51907
500106065,1,2024-07-19 23:10:30,41,1,25.04178,121.51907
500106065,1,2024-07-19 23:11:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 23:12:23,41,0,25.04178,121.51907
500106065,1,2024-07-19 23:13:24,41,0,25.04178,121.51907
500106065,1,2024-07-19 23:14:23,41,0,25.04178,121.51907
500106065,1,2024-07-19 23:15:23,41,0,25.04178,121.51907
500106065,1,2024-07-19 23:16:23,41,0,25.04178,121.51907
